video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
['"2gKj-SP6woU","KFC’s Ultimate Savings Meal - bada order, bada savings!","2020-12-24T11:03:30Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-24T11:03:30Z","[none]","6471733","53","22","0","https://i.ytimg.com/vi/2gKj-SP6woU/default.jpg","False","False","Save 40% on all this fried chicken 😁Order NOW!"']
['"LZfSK2AxAw8","Aaj kuch special le jao! \'Cos there’s something for everyone!","2020-12-24T10:59:25Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-24T10:59:25Z","[none]","7092","92","15","0","https://i.ytimg.com/vi/LZfSK2AxAw8/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourite in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"FEF5nsu3Woc","Aaj kuch special le jao! \'Cos there’s something for everyone!","2020-12-24T10:58:12Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-24T10:58:12Z","[none]","3615525","32","4","0","https://i.ytimg.com/vi/FEF5nsu3Woc/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourite in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"ZIPJNpNyjuE","Free Popcorn Chicken worth Rs 150 with your meals! **","2020-12-23T13:17:41Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-23T13:17:41Z","[none]","274629","1025","209","0","https://i.ytimg.com/vi/ZIPJNpNyjuE/default.jpg","False","False","We\'re giving you what you REALLY want: Free Popcorn Chicken worth Rs 150 with your meals! ** Offer valid exclusively on your first 3 orders above Rs 399 from the KFC App & Website."']
['"52iLkeFkagk","Big Treat Week - OFFER ENDS TODAY!!! 🍗🍗🍗","2020-12-20T02:30:00Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-20T02:30:00Z","[none]","1901","29","2","0","https://i.ytimg.com/vi/52iLkeFkagk/default.jpg","False","False","Savings up to 42%And upto 100% cashback via Paytm! **There\'s something for everyoneValid on Dine-in, Take-away, KFC App & WebsiteHurry, order now!**T&C apply."']
['"lN3OzhiYFjM","Big Treat Week - OFFER ENDS TOMORROW!!! 🍗🍗🍗","2020-12-19T02:30:03Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-19T02:30:03Z","[none]","995","11","4","0","https://i.ytimg.com/vi/lN3OzhiYFjM/default.jpg","False","False","There\'s something for everyone!!Savings up to 42%And upto 100% cashback via Paytm! **Valid on Dine-in, Take-away, KFC App & WebsiteHurry, order now!**T&C apply."']
['"yDuPiM3sRaU","Big Treat Week - ONLY 3 DAYS TO GO!!! 🍗🍗🍗","2020-12-18T08:41:30Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-18T08:41:30Z","[none]","1135","13","2","0","https://i.ytimg.com/vi/yDuPiM3sRaU/default.jpg","False","False","There\'s something for everyone14th - 20th DecValid on Dine-in, Take-away, KFC App & WebsiteOrder now!**T&C apply"']
['"bBBImzyYGXo","Big Treat Week - ONLY 3 DAYS TO GO!!! 🍗🍗🍗","2020-12-18T06:50:58Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-18T06:50:58Z","[none]","702","17","2","0","https://i.ytimg.com/vi/bBBImzyYGXo/default.jpg","False","False","There\'s something for everyone14th - 20th DecValid on Dine-in, Take-away, KFC App & WebsiteOrder now!**T&C apply"']
['"RhtwPJjng6M","Bengaluru! We heard you crave for fried chicken, that’s why we are HERE!","2020-12-17T13:54:44Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-17T13:54:44Z","[none]","661","13","3","0","https://i.ytimg.com/vi/RhtwPJjng6M/default.jpg","False","False","KFC now open at Orion Uptown, 7, Old Madras Road, Bengaluru"']
['"_KaaV81WiRw","Siliguri! We heard you crave for fried chicken, that’s why we are HERE!","2020-12-15T10:48:07Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-15T10:48:07Z","[none]","1014","14","5","0","https://i.ytimg.com/vi/_KaaV81WiRw/default.jpg","False","False","KFC now open at Cosmos Mall, Sevoke Road, Siliguri, West Bengal.Get ordering NOW!"']
