video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
['"svzbg5lKUnY","Entre Familia: Redefiniendo La Norma| McDonald’s","2021-02-05T22:11:00Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-05T22:11:00Z","McDonald’s|Propietario de McDonald’s|Operador de McDonald’s|Propietario Operador de McDonald’s|Immigrant Archive Project|Inmigrante|Empresario|Comunidad|Entre Familia|Puerto Rican|Puerto Rico|Boriqua|Borinquen|Orlando|Empresaria|Florida","2760","39","7","0","https://i.ytimg.com/vi/svzbg5lKUnY/default.jpg","True","False","Conoce a Marimar Velez, propietaria/operadora de McDonald’s en la Florida. Esta joven emprendedora está ayudando a redefinir normas."']
['"hytcVB8vn-A","Thank You For Driving Thru | McDonald’s","2021-02-04T16:20:51Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-04T16:20:51Z","[none]","2088624","469","93","91","https://i.ytimg.com/vi/hytcVB8vn-A/default.jpg","False","False","Thanks for turning up the volume, hitting your blinkers, and pulling up to the next window. Thank you for Driving Thru."']
['"jIcgN0twob4","Thank You for Driving Thru | McDonald’s","2021-02-04T14:33:14Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-04T14:33:14Z","[none]","43083","495","72","81","https://i.ytimg.com/vi/jIcgN0twob4/default.jpg","False","False","Thanks for turning up the volume, hitting your blinkers, and pulling up to the next window. Thank you for Driving Thru."']
['"EYpgrcpNpDU","第一步","2021-02-01T14:41:32Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-01T14:41:32Z","mcdonalds|spicy mcnuggets|mcdonald\'s spicy mcnuggets|spicy chicken mcnuggets|mighty hot sauce|mcdonald\'s mighty hot sauce|spicy mcnuggets 蘸醬|mcdonald\'s nuggets|spicy nuggets|mcdonald\'s spicy nuggets|mcnuggets|mcdonalds spicy nugget 發售日期","7718","104","10","0","https://i.ytimg.com/vi/EYpgrcpNpDU/default.jpg","True","False","Spicy McNuggets®味，帶給你恰到好處、香辣帶勁的滋味 。Spicy Chicken McNuggets® 和Mighty Hot Sauce 再次登場 —— 把握好機會,趕快享用吧。快在McDonald\'s app裡利用Mobile Order & Pay預先訂購 Spicy Chicken McNuggets® 及 Mighty Hot Sauce。https://www.mcdonalds.com/us/en-us/mobile-order-and-pay.html"']
['"jA_GL2CZjoE","第一步","2021-02-01T14:41:12Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-01T14:41:12Z","mcdonalds|spicy mcnuggets|mcdonald\'s spicy mcnuggets|spicy chicken mcnuggets|mighty hot sauce|mcdonald\'s mighty hot sauce|spicy mcnuggets 蘸醬|mcdonald\'s nuggets|spicy nuggets|mcdonald\'s spicy nuggets|mcnuggets|mcdonalds spicy nugget 發售日期","3034","26","5","0","https://i.ytimg.com/vi/jA_GL2CZjoE/default.jpg","True","False","Spicy McNuggets®味，帶給你恰到好處、香辣帶勁的滋味 。Spicy Chicken McNuggets® 和Mighty Hot Sauce 再次登場 —— 把握好機會,趕快享用吧。快在McDonald\'s app裡利用Mobile Order & Pay預先訂購 Spicy Chicken McNuggets® 及 Mighty Hot Sauce。https://www.mcdonalds.com/us/en-us/mobile-order-and-pay.html"']
['"P5SuEUqSXcA","첫번째","2021-02-01T14:40:34Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-01T14:40:34Z","mcdonalds|spicy mcnuggets|mcdonald\'s spicy mcnuggets|spicy chicken mcnuggets|mighty hot sauce|mcdonald\'s mighty hot sauce|spicy mcnuggets sauce|mcdonald\'s nuggets|spicy nuggets|mcdonald\'s spicy nuggets|mcnuggets|mcdonalds spicy nuggets 판매 날짜","3137","29","3","0","https://i.ytimg.com/vi/P5SuEUqSXcA/default.jpg","True","False","Spicy McNuggets®는 딱 맛있게 적당히 맵죠. 지금, 맛보세요- Spicy Chicken McNuggets®와 Mighty Hot Sauce가 돌아왔거든요. Spicy Chicken McNuggets®와 Mighty Hot Sauce를 모바일 주문과 결제를 이용하여 McDonald\'s 앱에서 미리 주문하세요.https://www.mcdonalds.com/us/en-us/mobile-order-and-pay.html"']
['"_fMxxPG4Ri4","First","2021-02-01T14:40:13Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-01T14:40:13Z","mcdonalds|spicy mcnuggets|mcdonald\'s spicy mcnuggets|spicy chicken mcnuggets|mighty hot sauce|mcdonald\'s mighty hot sauce|spicy mcnuggets sauce|mcdonald\'s nuggets|spicy nuggets|mcdonald\'s spicy nuggets|mcnuggets|mcdonalds spicy nuggets release date","5943","64","10","0","https://i.ytimg.com/vi/_fMxxPG4Ri4/default.jpg","True","False","Ang Spicy McNuggets® ay ang tamang timpla ng apoy, anghang at init. Get them while you can – dahil narito na muli ang Spicy Chicken McNuggets® at Mighty Hot Sauce.Umorder ahead ng Spicy Chicken McNuggets® at Mighty Hot Sauce sa McDonald\'s app gamit ang Mobile Order & Pay https://www.mcdonalds.com/us/en-us/mobile-order-and-pay.html"']
['"XP05QiHsiW0","Thứ Nhất","2021-02-01T14:39:38Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-01T14:39:38Z","mcdonalds|spicy mcnuggets|mcdonald\'s spicy mcnuggets|spicy chicken mcnuggets|mighty hot sauce|mcdonald\'s mighty hot sauce|spicy mcnuggets sauce|mcdonald\'s nuggets|spicy nuggets|mcdonald\'s spicy nuggets|mcnuggets|ngày trở lại của món mcdonalds spicy nuggets","2843","20","2","0","https://i.ytimg.com/vi/XP05QiHsiW0/default.jpg","True","False","Spicy McNuggets® vừa đủ độ nóng, độ cay, và nhiệt lượng. Hãy đặt mua ngay khi bạn có thể - bởi vì Spicy Chicken McNuggets® và Mighty Hot Sauce đã trở lại.  Đặt món Spicy Chicken McNuggets® và Mighty Hot Sauce trước từ ứng dụng McDonald\'s, thanh toán qua Mobile Order & Pay https://www.mcdonalds.com/us/en-us/mobile-order-and-pay.html"']
['"uLPgIBkz_es","First","2021-02-01T14:39:32Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-01T14:39:32Z","mcdonalds|spicy mcnuggets|mcdonald\'s spicy mcnuggets|spicy chicken mcnuggets|mighty hot sauce|mcdonald\'s mighty hot sauce|spicy mcnuggets sauce|mcdonald\'s nuggets|spicy nuggets|mcdonald\'s spicy nuggets|mcnuggets|mcdonalds spicy nuggets release date","4757","73","9","0","https://i.ytimg.com/vi/uLPgIBkz_es/default.jpg","True","False","Spicy McNuggets® are just the right amount of fire, spice and heat. Get \'em while you can — because Spicy Chicken McNuggets® and Mighty Hot Sauce are back.Order Spicy Chicken McNuggets® and Mighty Hot Sauce ahead in the McDonald\'s app using Mobile Order & Pay https://www.mcdonalds.com/us/en-us/mobile-order-and-pay.html"']
['"UXqrMhnfPsw","好消息","2021-02-01T14:39:01Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-01T14:39:01Z","mcdonalds|spicy mcnuggets|mcdonald\'s spicy mcnuggets|spicy chicken mcnuggets|mighty hot sauce|mcdonald\'s mighty hot sauce|spicy mcnuggets 蘸醬|mcdonald\'s nuggets|spicy nuggets|mcdonald\'s spicy nuggets|mcnuggets|mcdonalds spicy nugget 發售日期","5038","30","2","0","https://i.ytimg.com/vi/UXqrMhnfPsw/default.jpg","True","False","Spicy McNuggets®味，帶給你恰到好處、香辣帶勁的滋味 。Spicy Chicken McNuggets® 和Mighty Hot Sauce 再次登場 —— 把握好機會,趕快享用吧。快在McDonald\'s app裡利用Mobile Order & Pay預先訂購 Spicy Chicken McNuggets® 及 Mighty Hot Sauce。https://www.mcdonalds.com/us/en-us/mobile-order-and-pay.html"']
